epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/cv4_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/cv4_loss,lr/pg0,lr/pg1,lr/pg2
58,9197.75,0.85288,10.6924,0.57496,0.2554,3e-05,0.00218,3e-05,2e-05,0.74594,9.62417,0.55901,0.40209,0.004357,0.004357,0.004357
59,9356.3,0.84814,10.6949,0.57526,0.24864,3e-05,0.00218,3e-05,2e-05,0.74568,9.62344,0.55896,0.40174,0.004258,0.004258,0.004258
60,9514.3,0.83908,10.6899,0.5729,0.25329,3e-05,0.00218,3e-05,2e-05,0.74565,9.62384,0.55897,0.40141,0.004159,0.004159,0.004159
61,9672.51,0.84131,10.6793,0.57644,0.24688,3e-05,0.00218,3e-05,2e-05,0.74517,9.62437,0.55889,0.39756,0.00406,0.00406,0.00406
62,9830.22,0.84714,10.6869,0.57185,0.24278,3e-05,0.00218,3e-05,2e-05,0.74506,9.62363,0.5589,0.39591,0.003961,0.003961,0.003961
63,9990.52,0.84873,10.6449,0.57398,0.23852,3e-05,0.00218,3e-05,2e-05,0.74539,9.62342,0.5589,0.3978,0.003862,0.003862,0.003862
64,10147.3,0.84067,10.6766,0.57286,0.24162,3e-05,0.00218,3e-05,2e-05,0.74586,9.62431,0.55894,0.39477,0.003763,0.003763,0.003763
65,10305.5,0.8559,10.655,0.57542,0.23873,3e-05,0.00218,3e-05,2e-05,0.74579,9.62423,0.55896,0.39284,0.003664,0.003664,0.003664
66,10463.2,0.83981,10.685,0.57396,0.23198,3e-05,0.00218,3e-05,2e-05,0.74555,9.62439,0.55893,0.38983,0.003565,0.003565,0.003565
67,10622.7,0.84313,10.6634,0.57511,0.23528,3e-05,0.00218,3e-05,2e-05,0.74516,9.62373,0.55891,0.38967,0.003466,0.003466,0.003466
68,10781.1,0.8415,10.6663,0.57318,0.23301,3e-05,0.00218,3e-05,2e-05,0.74508,9.62395,0.55892,0.38876,0.003367,0.003367,0.003367
69,10938.8,0.84851,10.6881,0.57718,0.23406,3e-05,0.00218,3e-05,2e-05,0.74525,9.6238,0.55892,0.39017,0.003268,0.003268,0.003268
70,11095.9,0.84081,10.7202,0.57485,0.23139,3e-05,0.00218,3e-05,2e-05,0.74543,9.62398,0.55894,0.39038,0.003169,0.003169,0.003169
71,11254,0.83576,10.6895,0.57244,0.23249,3e-05,0.00218,3e-05,2e-05,0.74507,9.6232,0.55894,0.38997,0.00307,0.00307,0.00307
72,11412.2,0.85083,10.5917,0.57755,0.22797,3e-05,0.00218,3e-05,2e-05,0.7452,9.62398,0.55893,0.38738,0.002971,0.002971,0.002971
73,11569,0.85194,10.6975,0.57319,0.22591,3e-05,0.00218,3e-05,2e-05,0.74513,9.62472,0.55889,0.38848,0.002872,0.002872,0.002872
74,11727.8,0.84503,10.6428,0.57519,0.2263,3e-05,0.00218,3e-05,2e-05,0.74542,9.62505,0.55892,0.38576,0.002773,0.002773,0.002773
75,11886.7,0.83882,10.7119,0.57102,0.22071,3e-05,0.00218,3e-05,2e-05,0.74499,9.62424,0.55891,0.38707,0.002674,0.002674,0.002674
76,12044,0.84713,10.6604,0.57264,0.21945,3e-05,0.00218,3e-05,2e-05,0.74538,9.6248,0.55892,0.38396,0.002575,0.002575,0.002575
77,12202.3,0.84406,10.6178,0.57465,0.21721,3e-05,0.00218,3e-05,2e-05,0.74526,9.62381,0.5589,0.38827,0.002476,0.002476,0.002476
78,12359.6,0.84919,10.6939,0.57597,0.21918,3e-05,0.00218,3e-05,2e-05,0.74531,9.62385,0.55893,0.38595,0.002377,0.002377,0.002377
79,12518.2,0.83296,10.6293,0.57204,0.21572,3e-05,0.00218,3e-05,2e-05,0.74555,9.62445,0.55894,0.38591,0.002278,0.002278,0.002278
80,12675.6,0.84449,10.6986,0.5767,0.21112,3e-05,0.00218,3e-05,2e-05,0.74524,9.62448,0.55897,0.38719,0.002179,0.002179,0.002179
81,12834.2,0.84279,10.6445,0.5741,0.21176,3e-05,0.00218,3e-05,2e-05,0.74534,9.6237,0.55897,0.38449,0.00208,0.00208,0.00208
82,12991.7,0.83965,10.6749,0.57548,0.21266,3e-05,0.00218,3e-05,2e-05,0.74544,9.62433,0.55893,0.38691,0.001981,0.001981,0.001981
83,13148.9,0.85251,10.6908,0.57421,0.21111,3e-05,0.00218,3e-05,2e-05,0.74551,9.62366,0.55895,0.3854,0.001882,0.001882,0.001882
84,13306.6,0.83874,10.6689,0.57154,0.21133,3e-05,0.00218,3e-05,2e-05,0.7455,9.6241,0.55893,0.38258,0.001783,0.001783,0.001783
85,13465.2,0.85001,10.6934,0.57351,0.21127,3e-05,0.00218,3e-05,2e-05,0.74521,9.62487,0.55897,0.3813,0.001684,0.001684,0.001684
86,13622.5,0.848,10.7107,0.57317,0.2051,3e-05,0.00218,3e-05,2e-05,0.74512,9.62421,0.55889,0.38209,0.001585,0.001585,0.001585
87,13781.1,0.84366,10.6815,0.57211,0.2075,3e-05,0.00218,3e-05,2e-05,0.74538,9.62421,0.55892,0.38128,0.001486,0.001486,0.001486
88,13938.4,0.84009,10.7372,0.57192,0.20125,3e-05,0.00218,3e-05,2e-05,0.7454,9.62391,0.55889,0.38138,0.001387,0.001387,0.001387
